id,age,gender,education_level,marital_status,income_category,card_category,months_on_book,total_relationship_count,months_inactive_12_mon,contacts_count_12_mon,credit_limit,attrited
768805383,45,M,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,false
818770008,49,F,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,false
713982108,51,M,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0,false
769911858,40,F,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313.0,false
709106358,40,M,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0,false
713061558,44,M,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,false
810347208,51,M,Unknown,Married,$120K +,Gold,46,6,1,3,34516.0,false
818906208,32,M,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29081.0,false
710930508,37,M,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0,false
719661558,48,M,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0,false
708790833,42,M,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748.0,false
710821833,65,M,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095.0,false
710599683,56,M,College,Single,$80K - $120K,Blue,36,3,6,0,11751.0,false
816082233,35,M,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547.0,false
712396908,57,F,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,false
714885258,44,M,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234.0,false
709967358,48,M,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367.0,false
753327333,41,M,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535.0,false
806160108,61,M,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,false
709327383,45,F,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0,false
806165208,47,M,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,false
708508758,62,F,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,true
784725333,41,M,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,false
811604133,47,F,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,false
789124683,54,M,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,false
771071958,41,F,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,false
720466383,59,M,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784.0,false
804424383,63,M,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215.0,false
718813833,44,F,Uneducated,Single,Unknown,Blue,34,5,2,2,10100.0,false
806624208,47,M,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,false
778348233,53,M,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753.0,false
712991808,53,M,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,false
709029408,41,M,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,false
788658483,53,F,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,false
787937058,58,M,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,false
715318008,55,F,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,false
713962233,55,F,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035.0,false
785432733,42,F,High School,Married,Less than $40K,Gold,36,2,3,3,15433.0,false
715190283,57,F,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672.0,false
708300483,66,F,Doctorate,Married,Unknown,Blue,56,5,4,3,7882.0,true
827111283,45,M,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426.0,false
758551608,51,M,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205.0,false
773146383,50,F,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0,false
778493808,49,M,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0,false
720572508,38,F,Graduate,Single,Unknown,Blue,28,2,3,3,9830.0,false
712661433,49,M,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516.0,false
789172683,56,M,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,false
738406533,59,M,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548.0,false
799723908,46,M,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0,false
771490833,52,M,College,Single,$80K - $120K,Blue,40,5,1,1,4745.0,false
720756708,52,F,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622.0,false
779471883,54,F,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,true
711525033,66,F,High School,Married,Less than $40K,Blue,54,3,4,2,3171.0,false
712813458,49,M,Unknown,Married,$120K +,Blue,36,4,2,0,19763.0,false
714374133,56,M,Graduate,Married,$120K +,Blue,36,1,3,3,15769.0,true
717891558,49,F,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298.0,false
716632758,49,F,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802.0,false
768563658,56,M,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458.0,false
711427458,44,F,Graduate,Married,Unknown,Blue,35,4,1,2,6273.0,false
714091983,42,M,High School,Single,$60K - $80K,Blue,34,4,4,3,3336.0,false
787584108,55,M,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436.0,false
712030833,48,M,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516.0,true
711481533,39,M,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926.0,false
710082708,44,M,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957.0,false
708155733,53,M,High School,Single,$120K +,Blue,44,4,2,2,14734.0,false
788979258,51,M,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516.0,false
807986133,57,M,College,Married,$60K - $80K,Blue,52,5,3,3,6584.0,false
788730933,44,F,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084.0,false
711314058,49,M,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687.0,false
717975333,50,M,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300.0,false
715971108,51,M,Graduate,Single,$120K +,Blue,42,3,2,3,34516.0,false
720096558,55,F,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216.0,false
719580033,54,M,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910.0,false
820582308,42,M,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913.0,false
789973308,44,M,College,Single,$60K - $80K,Blue,35,3,3,3,24312.0,false
712876233,53,M,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272.0,false
804595158,44,F,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000.0,false
714826758,37,F,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038.0,false
779058108,49,M,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536.0,false
710790258,47,M,Graduate,Married,$80K - $120K,Blue,38,6,3,2,28904.0,false
715623483,47,M,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567.0,false
715156383,44,M,Unknown,Unknown,$120K +,Blue,36,6,2,2,34516.0,false
711013983,55,F,Unknown,Married,$40K - $60K,Blue,45,2,4,3,2158.0,true
755420433,59,F,Graduate,Married,Unknown,Blue,52,2,3,3,10133.0,false
794543958,53,M,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,34516.0,false
716396358,52,M,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085.0,false
715398033,53,M,High School,Single,$120K +,Blue,35,4,2,1,19040.0,false
711743883,43,F,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026.0,false
719720058,44,M,High School,Single,$60K - $80K,Blue,31,4,3,1,12756.0,false
778992108,57,M,Unknown,Married,$120K +,Blue,45,5,3,3,5266.0,false
717539808,51,F,High School,Single,Less than $40K,Blue,36,3,2,2,9930.0,false
714070758,49,M,High School,Single,$80K - $120K,Blue,38,4,3,0,31302.0,false
714107958,45,M,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576.0,false
789140283,53,M,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664.0,false
715550508,45,F,Unknown,Married,Unknown,Blue,28,5,1,2,2535.0,false
719712633,64,M,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709.0,false
772629333,45,M,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454.0,false
720336708,53,M,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789.0,false
802013583,56,M,College,Married,$120K +,Blue,50,3,2,0,9689.0,false
711887583,47,M,Unknown,Married,$80K - $120K,Blue,37,2,3,3,5449.0,true
714778833,49,F,College,Single,Unknown,Blue,43,4,4,0,23032.0,false
713843283,41,F,Unknown,Married,Unknown,Silver,34,5,3,3,34516.0,false
779155158,53,M,Graduate,Married,$120K +,Blue,34,6,2,2,2940.0,false
721091583,44,F,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031.0,false
713572683,44,M,High School,Unknown,$60K - $80K,Blue,25,3,3,0,1862.0,false
716657058,43,F,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,8358.0,false
779509983,53,M,Post-Graduate,Single,$120K +,Blue,36,6,1,2,34516.0,false
717929133,44,M,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,14450.0,false
808284783,62,F,Unknown,Married,Less than $40K,Blue,56,6,0,0,1438.3,false
708476808,54,M,Unknown,Divorced,$120K +,Blue,36,6,3,2,33791.0,false
710916408,57,M,Graduate,Married,$60K - $80K,Blue,39,4,3,0,8466.0,false
708492558,42,M,Unknown,Married,$60K - $80K,Blue,36,5,3,3,15088.0,false
799825758,42,M,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263.0,false
718619883,54,F,Uneducated,Married,Less than $40K,Blue,36,2,2,2,1494.0,false
711844758,48,M,Graduate,Single,$80K - $120K,Blue,35,6,1,0,13551.0,false
714798783,49,M,Graduate,Single,$80K - $120K,Blue,36,6,2,2,18886.0,false
826762908,52,M,High School,Unknown,$80K - $120K,Blue,48,3,2,0,11976.0,false
771894558,50,M,High School,Single,$80K - $120K,Blue,39,4,1,4,9964.0,false
721074183,49,M,Doctorate,Married,$60K - $80K,Blue,36,4,6,3,24159.0,false
715259583,53,F,High School,Married,Less than $40K,Blue,44,3,2,3,5362.0,false
718414008,50,M,Graduate,Single,$120K +,Blue,36,3,2,2,34516.0,false
719666283,55,F,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174.0,false
714877233,53,M,High School,Married,$80K - $120K,Blue,47,3,2,2,12262.0,false
785387883,47,F,High School,Single,$40K - $60K,Blue,41,4,3,3,3788.0,false
771075258,55,M,College,Single,$120K +,Silver,42,2,3,2,34516.0,false
711318033,47,M,Graduate,Single,$60K - $80K,Blue,36,4,2,2,2926.0,false
783554958,58,M,Graduate,Single,$120K +,Blue,52,6,1,0,32090.0,false
720201033,53,M,Graduate,Married,$80K - $120K,Blue,41,3,3,2,11669.0,true
718039683,52,M,High School,Single,$40K - $60K,Blue,45,3,1,2,13532.0,false
710806083,50,F,Uneducated,Unknown,Less than $40K,Silver,36,4,2,2,11888.0,false
714752208,42,F,Graduate,Married,Less than $40K,Blue,36,5,1,2,2393.0,false
822063408,43,M,Unknown,Married,$40K - $60K,Blue,39,5,1,2,6111.0,false
714490308,57,M,Graduate,Married,$80K - $120K,Blue,46,3,2,3,19270.0,false
713356833,52,M,Graduate,Married,$80K - $120K,Blue,43,3,1,4,3710.0,false
711402333,47,M,Doctorate,Single,Less than $40K,Blue,37,2,1,3,3235.0,false
708296883,44,F,Graduate,Single,$40K - $60K,Blue,38,3,1,0,11749.0,false
719154483,53,M,High School,Divorced,$60K - $80K,Blue,36,5,3,2,7753.0,false
717721458,45,M,College,Divorced,$60K - $80K,Blue,40,5,1,0,10408.0,false
711112683,63,F,College,Married,Unknown,Blue,36,6,2,3,3967.0,false
715674483,39,F,Post-Graduate,Single,Less than $40K,Blue,27,4,2,2,6205.0,false
789322833,48,F,High School,Married,Less than $40K,Blue,38,1,3,3,8025.0,true
789968058,51,M,Unknown,Single,$120K +,Blue,42,6,2,3,9036.0,false
709919283,54,M,Graduate,Married,$80K - $120K,Blue,34,2,3,2,14926.0,false
718744008,59,F,Graduate,Single,Less than $40K,Blue,36,3,2,3,6335.0,false
767712558,59,M,College,Single,$60K - $80K,Blue,53,2,3,3,14979.0,true
712950783,48,F,Uneducated,Married,Less than $40K,Blue,38,3,2,3,2732.0,true
716104983,41,F,Graduate,Single,Less than $40K,Blue,32,6,3,2,2250.0,false
818839983,55,M,Graduate,Married,$120K +,Blue,50,3,2,0,10916.0,false
772288758,47,F,Graduate,Married,Unknown,Blue,36,4,1,3,5349.0,false
712350858,41,M,High School,Married,$80K - $120K,Blue,24,4,1,3,9366.0,false
711009708,40,M,High School,Single,$80K - $120K,Blue,28,5,1,0,21617.0,false
712720158,68,M,Graduate,Married,Unknown,Blue,56,5,2,3,13860.0,false
712215258,50,F,Graduate,Single,$40K - $60K,Silver,31,2,2,3,18386.0,false
773827008,47,M,Uneducated,Single,$60K - $80K,Blue,41,6,2,2,2405.0,false
795232683,53,F,College,Married,Less than $40K,Blue,47,4,2,3,2154.0,false
713786508,42,F,Unknown,Married,$40K - $60K,Blue,36,3,3,3,2038.0,false
713539833,48,F,High School,Single,$40K - $60K,Blue,38,6,1,3,8135.0,false
712454058,49,M,Doctorate,Married,$120K +,Blue,38,6,1,3,9364.0,false
718759833,44,F,Uneducated,Married,Unknown,Silver,35,4,3,2,32643.0,false
718803333,43,F,Graduate,Divorced,Less than $40K,Blue,34,2,3,1,3195.0,false
720253908,56,M,High School,Married,$80K - $120K,Blue,43,5,2,1,2852.0,false
714133158,59,F,College,Single,Unknown,Blue,36,2,3,3,4224.0,false
713187033,46,M,Uneducated,Married,$60K - $80K,Blue,36,3,2,2,20459.0,false
714791208,47,F,Unknown,Divorced,Less than $40K,Blue,41,6,5,3,3482.0,false
772426383,50,F,Uneducated,Married,$40K - $60K,Blue,40,5,2,3,3065.0,false
710975883,51,F,Uneducated,Married,Less than $40K,Blue,43,3,1,2,2185.0,false
714264408,47,F,Uneducated,Married,Less than $40K,Blue,36,4,1,0,1611.0,false
715827858,58,F,Uneducated,Married,Less than $40K,Blue,47,3,3,3,2822.0,false
713741358,46,M,Graduate,Single,$80K - $120K,Blue,33,6,3,3,32975.0,true
709531908,53,M,High School,Married,$60K - $80K,Blue,47,5,2,2,1438.3,false
716493408,45,F,Uneducated,Divorced,Unknown,Blue,36,4,3,3,15875.0,false
714141108,52,F,High School,Married,Less than $40K,Blue,45,6,3,3,6703.0,false
708953883,53,M,Unknown,Married,$80K - $120K,Blue,36,2,2,1,3212.0,true
712608783,50,M,High School,Married,$80K - $120K,Silver,45,3,1,3,34516.0,false
820353558,41,F,High School,Married,$40K - $60K,Blue,36,4,1,2,9797.0,false
714964758,45,F,Graduate,Divorced,$40K - $60K,Blue,36,5,2,2,10400.0,false
716264358,53,M,Uneducated,Married,$80K - $120K,Blue,42,2,1,2,26792.0,false
717296808,67,F,Graduate,Married,Less than $40K,Blue,56,4,3,2,3006.0,false
712977183,57,F,Uneducated,Single,$40K - $60K,Silver,36,6,3,0,19482.0,false
710829108,59,F,Uneducated,Married,$40K - $60K,Blue,36,4,2,3,3356.0,false
779562633,45,M,Uneducated,Married,$40K - $60K,Blue,34,3,2,1,5771.0,false
715315833,51,M,Graduate,Married,$80K - $120K,Blue,36,6,2,3,11106.0,false
815500983,59,F,Uneducated,Married,Less than $40K,Blue,54,5,3,0,2890.0,false
719360583,53,M,Graduate,Married,$60K - $80K,Blue,45,6,2,2,3380.0,false
709701558,47,M,Graduate,Married,$60K - $80K,Blue,36,2,1,2,21331.0,false
721148358,49,F,Uneducated,Single,Unknown,Blue,38,6,2,1,12860.0,false
779862408,49,M,Post-Graduate,Single,$80K - $120K,Blue,33,3,1,0,6278.0,false
812627208,60,F,College,Single,Less than $40K,Blue,55,5,1,3,1438.3,false
711033408,50,F,High School,Married,Less than $40K,Blue,36,5,1,2,9355.0,false
779956608,41,F,Post-Graduate,Married,Unknown,Blue,31,6,1,3,20758.0,false
780376683,57,M,Graduate,Married,$80K - $120K,Blue,47,5,3,1,14612.0,false
717912483,43,M,Graduate,Unknown,$80K - $120K,Blue,27,5,2,0,27259.0,false
714454758,57,F,Graduate,Married,Less than $40K,Blue,47,4,2,3,6347.0,false
780466533,54,M,Doctorate,Married,$120K +,Blue,41,3,3,0,21592.0,false
715735233,51,F,Post-Graduate,Married,Less than $40K,Blue,44,5,1,1,3449.0,false
720476733,47,F,High School,Married,Less than $40K,Blue,34,2,1,2,6028.0,false
715872333,41,M,High School,Unknown,$120K +,Blue,36,3,2,3,18214.0,false
712375758,53,M,Uneducated,Married,$80K - $120K,Blue,43,3,3,1,16393.0,false
708868233,68,M,High School,Married,Less than $40K,Blue,52,1,3,2,1438.3,true
718030083,59,M,College,Married,$60K - $80K,Blue,36,4,1,2,7871.0,false
720707283,48,M,Unknown,Married,$80K - $120K,Blue,36,5,3,0,5288.0,false
771698658,44,M,Graduate,Married,$60K - $80K,Blue,32,4,5,3,11376.0,false
748326258,48,M,College,Married,$80K - $120K,Blue,41,4,5,3,12302.0,false
770817783,47,M,Graduate,Married,$60K - $80K,Silver,33,3,2,1,34516.0,false
779353083,47,M,Graduate,Married,$60K - $80K,Silver,32,4,2,2,34516.0,false
711441333,43,F,High School,Divorced,Less than $40K,Silver,35,3,2,2,10514.0,false
719808558,55,F,Graduate,Married,Less than $40K,Blue,43,2,4,3,1438.3,true
711551958,59,M,Post-Graduate,Married,$60K - $80K,Blue,46,3,3,3,1438.3,true
809164083,63,M,Graduate,Married,$40K - $60K,Blue,56,2,1,2,2619.0,false
820596183,58,M,College,Married,$120K +,Blue,53,2,3,0,24407.0,false
715999608,53,F,High School,Married,Less than $40K,Blue,36,4,1,2,2377.0,false
710565408,59,M,Unknown,Unknown,$80K - $120K,Silver,40,3,2,3,34516.0,false
805543158,52,M,Graduate,Married,$120K +,Blue,47,5,3,3,11086.0,false
709752183,48,M,High School,Single,$60K - $80K,Blue,36,4,2,2,11432.0,false
716479233,43,M,High School,Married,$40K - $60K,Blue,36,5,3,2,13258.0,false
713837058,48,M,College,Single,Less than $40K,Blue,36,3,2,3,2571.0,false
718876683,43,F,Graduate,Single,Less than $40K,Blue,31,5,2,0,5781.0,false
770746908,44,M,Unknown,Married,$60K - $80K,Blue,30,5,1,2,7872.0,false
794843883,41,M,High School,Married,$80K - $120K,Blue,35,6,1,2,34516.0,false
803043933,44,F,Uneducated,Divorced,Less than $40K,Silver,38,4,1,3,11127.0,false
758076408,50,M,Unknown,Single,$40K - $60K,Blue,43,2,1,3,1857.0,false
714606558,60,F,Uneducated,Married,Less than $40K,Blue,36,5,1,0,1913.0,false
778425408,44,M,Graduate,Single,$80K - $120K,Blue,24,5,3,0,3839.0,false
714171108,48,F,Graduate,Divorced,$40K - $60K,Blue,39,6,2,3,2115.0,false
719662458,44,F,Graduate,Divorced,Less than $40K,Blue,27,5,2,2,1438.3,false
713137233,41,M,High School,Single,$80K - $120K,Blue,28,4,3,0,27756.0,false
769425858,45,M,College,Single,$60K - $80K,Blue,32,4,1,2,1438.3,false
711297483,47,F,Uneducated,Divorced,Less than $40K,Silver,34,6,4,2,13878.0,false
788900883,51,F,Graduate,Married,Less than $40K,Blue,36,3,1,3,3106.0,false
758348808,51,M,Graduate,Married,$120K +,Blue,44,4,3,3,34516.0,false
772336458,60,F,Uneducated,Married,$40K - $60K,Blue,50,4,4,3,1438.3,true
708711483,57,M,Unknown,Married,$80K - $120K,Blue,46,2,3,0,18871.0,false
717906783,41,M,Graduate,Single,$120K +,Blue,29,5,2,2,5207.0,false
719437908,44,M,Post-Graduate,Divorced,$80K - $120K,Blue,36,6,2,2,17965.0,false
769433508,43,M,College,Single,$60K - $80K,Blue,37,6,3,3,2733.0,false
790096533,55,M,College,Married,$60K - $80K,Blue,48,4,3,2,8863.0,false
720997383,52,M,Uneducated,Married,$80K - $120K,Blue,36,2,3,3,1857.0,true
787541883,44,M,Graduate,Unknown,$80K - $120K,Blue,33,3,3,3,34516.0,false
709930758,41,M,Uneducated,Married,$40K - $60K,Blue,30,5,3,3,11107.0,false
789830058,44,M,Unknown,Single,$80K - $120K,Blue,34,4,1,2,21573.0,false
710299608,53,F,Unknown,Married,Less than $40K,Blue,33,2,3,3,2859.0,true
710741208,39,M,High School,Single,$80K - $120K,Blue,36,4,2,2,5269.0,false
821797008,49,M,College,Married,$40K - $60K,Blue,45,2,2,3,1438.3,true
708874533,45,F,College,Married,Less than $40K,Blue,36,1,3,2,3387.0,true
715341858,54,M,Graduate,Married,$80K - $120K,Blue,46,6,2,3,1982.0,false
793636308,49,M,Uneducated,Single,$80K - $120K,Blue,43,2,2,2,4645.0,false
713779908,46,F,Doctorate,Single,Unknown,Blue,36,6,3,2,2189.0,false
712125258,46,M,High School,Married,$120K +,Blue,30,3,3,3,2442.0,true
